Cliente;grupo;tipo;tamanho;desconto ;skus_sem1;skus_sem2;skus_sem3;fat_sem1;fat_sem2;fat_sem3;marg_sem1;marg_sem2;marg_sem3;;;;;
000070;;Varejo;Grande;;;;;;;;;;;;;;;
000080;;Varejo;Grande;;;;;;;;;;;;;;;
000346;;Varejo;Grande;;;;;;;;;;;;;;;
000396;;Autocentro;Pequeno;;;;;;;;;;;;;;;
000415;;Varejo;Pequeno;;;;;;;;;;;;;;;
000423;;Varejo;Pequeno;;;;;;;;;;;;;;;
000455;;Varejo;Grande;;;;;;;;;;;;;;;
000748;;Varejo;Grande;;;;;;;;;;;;;;;
001020;;Varejo;Grande;;;;;;;;;;;;;;;
001912;;Varejo;Grande;;;;;;;;;;;;;;;
001942;;Varejo;Grande;;;;;;;;;;;;;;;
002229;;Varejo;Pequeno;;;;;;;;;;;;;;;
002747;;Autocentro;Grande;;;;;;;;;;;;;;;
003059;;Autocentro;Pequeno;;;;;;;;;;;;;;;
003256;;Autocentro;Pequeno;;;;;;;;;;;;;;;
003333;;Autocentro;Pequeno;;;;;;;;;;;;;;;
003836;;Autocentro;Pequeno;;;;;;;;;;;;;;;
004005;;Autocentro;Pequeno;;;;;;;;;;;;;;;
004222;;Varejo;Grande;;;;;;;;;;;;;;;
005485;;Autocentro;Pequeno;;;;;;;;;;;;;;;
006382;;Autocentro;Pequeno;;;;;;;;;;;;;;;
006428;;Autocentro;Pequeno;;;;;;;;;;;;;;;
006499;;Autocentro;Pequeno;;;;;;;;;;;;;;;
006578;;Autocentro;Pequeno;;;;;;;;;;;;;;;
006764;;Autocentro;Pequeno;;;;;;;;;;;;;;;
007164;;Autocentro;Pequeno;;;;;;;;;;;;;;;
007327;;Varejo;Pequeno;;;;;;;;;;;;;;;
007498;;Autocentro;Pequeno;;;;;;;;;;;;;;;
007575;;Autocentro;Pequeno;;;;;;;;;;;;;;;
007776;;Varejo;Pequeno;;;;;;;;;;;;;;;
007839;;Autocentro;Grande;;;;;;;;;;;;;;;
007877;;Varejo;Pequeno;;;;;;;;;;;;;;;
007878;;Autocentro;Pequeno;;;;;;;;;;;;;;;
008019;;Autocentro;Pequeno;;;;;;;;;;;;;;;
008156;;Autocentro;Grande;;;;;;;;;;;;;;;
008182;;Varejo;Grande;;;;;;;;;;;;;;;
008410;;Autocentro;Pequeno;;;;;;;;;;;;;;;
008574;;Autocentro;Pequeno;;;;;;;;;;;;;;;
008690;;Autocentro;Pequeno;;;;;;;;;;;;;;;
008737;;Varejo;Pequeno;;;;;;;;;;;;;;;
008849;;Autocentro;Grande;;;;;;;;;;;;;;;
009226;;Autocentro;Pequeno;;;;;;;;;;;;;;;
009272;;Autocentro;Pequeno;;;;;;;;;;;;;;;
009380;;Autocentro;Grande;;;;;;;;;;;;;;;
009611;;Autocentro;Pequeno;;;;;;;;;;;;;;;
009822;;Autocentro;Pequeno;;;;;;;;;;;;;;;
010204;;Autocentro;Pequeno;;;;;;;;;;;;;;;
010230;;Autocentro;Pequeno;;;;;;;;;;;;;;;
010255;;Autocentro;Pequeno;;;;;;;;;;;;;;;
010440;;Autocentro;Grande;;;;;;;;;;;;;;;
010522;;Autocentro;Grande;;;;;;;;;;;;;;;
010537;;Varejo;Grande;;;;;;;;;;;;;;;
010718;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011046;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011070;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011073;;Autocentro;Grande;;;;;;;;;;;;;;;
011180;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011184;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011478;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011507;;Varejo;Grande;;;;;;;;;;;;;;;
011668;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011682;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011717;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011728;;Varejo;Pequeno;;;;;;;;;;;;;;;
011729;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011751;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011768;;Autocentro;Pequeno;;;;;;;;;;;;;;;
011830;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012032;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012191;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012313;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012319;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012458;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012489;;Autocentro;Grande;;;;;;;;;;;;;;;
012664;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012733;;Autocentro;Pequeno;;;;;;;;;;;;;;;
012783;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013133;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013171;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013311;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013366;;Varejo;Pequeno;;;;;;;;;;;;;;;
013426;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013428;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013436;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013473;;Autocentro;Pequeno;;;;;;;;;;;;;;;
013480;;Autocentro;Grande;;;;;;;;;;;;;;;
013578;;Autocentro;Pequeno;;;;;;;;;;;;;;;
