,codpro,codfor,estoque,min_dt_estoque
0,000093,00385,21.0,2013-05-22
1,000153,00265,2.0,2013-04-19
2,000279,00124,1.0,2013-03-07
3,000368,00265,1.0,2013-03-12
4,000432,00150,7.0,2013-08-14
5,000442,00124,4.0,2013-03-14
6,000445,00124,3.0,2013-03-11
7,000450,00124,2.0,2013-03-11
8,000465,00124,3.0,2013-03-07
9,000484,00124,1.0,2013-03-07
10,000569,00124,2.0,2013-03-14
11,000576,00124,1.0,2013-03-07
12,000601,00230,3.0,2013-03-12
13,000638,00124,4.0,2013-04-18
14,000688,00124,2.0,2013-03-07
15,000711,00124,3.0,2013-03-19
16,000816,00124,1.0,2013-03-08
17,001767,00076,1.0,2013-03-07
18,000967,00124,1.0,2013-03-07
19,001916,00602,1.0,2013-03-07
20,001300,00265,2.0,2013-03-07
21,001830,00385,26.0,2013-03-08
22,001870,00124,1.0,2013-04-23
23,001879,00265,6.0,2013-03-07
24,002021,00150,3.0,2013-03-19
25,002300,00124,1.0,2013-03-13
26,002400,00123,5.0,2014-03-27
27,002728,00230,3.0,2013-03-07
28,002909,00385,3.0,2013-03-07
29,002922,00385,21.0,2013-03-07
30,002948,00385,10.0,2013-03-07
31,002951,00385,9.0,2013-03-08
32,002958,00385,22.0,2013-03-07
33,002997,00385,1.0,2013-03-11
34,003160,00171,8.0,2013-04-01
35,003163,00124,1.0,2013-09-11
36,003224,00261,1.0,2013-03-07
37,003374,00171,12.0,2013-04-24
38,003416,00278,1.0,2013-03-25
39,003427,00124,2.0,2013-03-20
40,003738,00124,3.0,2013-03-20
41,003748,00124,1.0,2013-03-14
42,003751,00124,2.0,2013-03-07
43,003753,00124,3.0,2014-04-04
44,003761,00124,1.0,2014-06-24
45,003765,00124,3.0,2013-03-18
46,003808,00124,1.0,2013-03-07
47,004004,00124,2.0,2013-03-07
48,004032,00589,10.0,2013-03-07
49,004044,00124,1.0,2013-03-07
50,004063,00589,2.0,2013-03-07
51,004176,00385,2.0,2013-04-12
52,004223,00124,2.0,2013-03-07
53,004571,00278,1.0,2013-03-07
54,004661,00265,1.0,2013-03-07
55,004687,00261,4.0,2013-05-21
56,004762,00616,1.0,2013-03-07
57,005115,00261,1.0,2013-03-12
58,005190,00076,1.0,2013-03-07
59,005448,00589,39.0,2013-03-07
60,005517,00124,6.0,2013-04-06
61,005709,00124,2.0,2013-07-08
62,005807,00124,2.0,2013-03-07
63,000067,00230,5.0,2013-04-12
64,000078,00002,3.0,2013-03-07
65,000137,00124,2.0,2013-03-25
66,000139,00124,1.0,2013-03-07
67,000198,00124,1.0,2013-03-07
68,000201,00002,1.0,2013-03-07
69,000332,00265,3.0,2013-03-11
70,000369,00265,1.0,2013-03-07
71,000433,00124,3.0,2013-03-07
72,000456,00124,13.0,2013-04-15
73,000551,00124,1.0,2013-03-07
74,000606,00150,2.0,2013-03-12
75,000647,00265,6.0,2013-03-13
76,000669,00385,6.0,2013-03-08
77,000687,00124,1.0,2013-03-14
78,000712,00124,2.0,2013-03-14
79,008608,00385,5.0,2013-03-08
80,001220,00123,21.0,2013-03-07
81,001343,00230,4.0,2013-03-12
82,001399,00002,1.0,2013-03-07
83,001474,00124,2.0,2013-03-20
84,001654,00261,1.0,2013-03-25
85,001768,00076,3.0,2013-04-12
86,001802,00230,7.0,2013-03-07
87,001831,00261,3.0,2013-03-07
