,codpro,codfor,estoque,min_dt_estoque
0,000093,00385,21.0,2013-05-22
1,000153,00265,2.0,2013-04-19
2,000279,00124,1.0,2013-03-07
3,000368,00265,1.0,2013-03-12
4,000432,00150,7.0,2013-08-14
5,000442,00124,4.0,2013-03-14
6,000445,00124,3.0,2013-03-11
7,000450,00124,2.0,2013-03-11
8,000465,00124,3.0,2013-03-07
9,000484,00124,1.0,2013-03-07
10,000569,00124,2.0,2013-03-14
11,000576,00124,1.0,2013-03-07
12,000584,00261,18.0,2013-03-07
13,000601,00230,3.0,2013-03-12
14,000638,00124,4.0,2013-04-18
15,000688,00124,2.0,2013-03-07
16,000711,00124,3.0,2013-03-19
17,000816,00124,1.0,2013-03-08
18,001767,00076,1.0,2013-03-07
19,000945,00520,6.0,2013-03-07
20,000967,00124,1.0,2013-03-07
21,000990,00002,1.0,2013-03-15
22,001138,00123,15.0,2013-03-25
23,001143,00123,7.0,2013-03-07
24,001163,00123,6.0,2013-03-26
25,001221,00123,9.0,2013-03-08
26,001916,00602,1.0,2013-03-07
27,001300,00265,2.0,2013-03-07
28,001481,00076,2.0,2013-03-25
29,001675,00278,1.0,2013-03-07
30,001726,00278,2.0,2013-03-07
31,001765,00076,19.0,2013-03-22
32,001830,00385,26.0,2013-03-08
33,001870,00124,1.0,2013-04-23
34,001879,00265,6.0,2013-03-07
35,002021,00150,3.0,2013-03-19
36,002023,00385,1.0,2013-03-08
37,002071,00515,1.0,2013-03-07
38,002167,00385,20.0,2013-03-08
39,002246,00124,2.0,2013-03-07
40,002300,00124,1.0,2013-03-13
41,002400,00123,5.0,2014-03-27
42,002403,00123,14.0,2013-03-07
43,003920,00135,40.0,2013-07-09
44,002694,00520,13.0,2013-03-07
45,002726,00230,17.0,2013-03-07
46,002728,00230,3.0,2013-03-07
47,002876,00385,7.0,2013-03-07
48,002883,00278,1.0,2013-03-07
49,002909,00385,3.0,2013-03-07
50,002922,00385,21.0,2013-03-07
51,002940,00385,14.0,2013-03-08
52,002948,00385,10.0,2013-03-07
53,002951,00385,9.0,2013-03-08
54,002958,00385,22.0,2013-03-07
55,002991,00385,56.0,2013-03-07
56,002997,00385,1.0,2013-03-11
57,003160,00171,8.0,2013-04-01
58,003163,00124,1.0,2013-09-11
59,003224,00261,1.0,2013-03-07
60,003374,00171,12.0,2013-04-24
61,003412,00124,3.0,2013-04-29
62,003416,00278,1.0,2013-03-25
63,003427,00124,2.0,2013-03-20
64,003738,00124,3.0,2013-03-20
65,003748,00124,1.0,2013-03-14
66,003751,00124,2.0,2013-03-07
67,003753,00124,3.0,2014-04-04
68,003761,00124,1.0,2014-06-24
69,003765,00124,3.0,2013-03-18
70,003808,00124,1.0,2013-03-07
71,004004,00124,2.0,2013-03-07
72,004032,00589,10.0,2013-03-07
73,004044,00124,1.0,2013-03-07
74,004063,00589,2.0,2013-03-07
75,004176,00385,2.0,2013-04-12
76,004223,00124,2.0,2013-03-07
77,004512,00265,3.0,2013-03-13
78,004571,00278,1.0,2013-03-07
79,004661,00265,1.0,2013-03-07
80,004687,00261,4.0,2013-05-21
81,004762,00616,1.0,2013-03-07
82,005115,00261,1.0,2013-03-12
83,005190,00076,1.0,2013-03-07
84,005314,00124,2.0,2013-04-09
85,005448,00589,39.0,2013-03-07
86,005517,00124,6.0,2013-04-06
87,005709,00124,2.0,2013-07-08
